"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
35,"NCT03373487","Cognitive Rehabilitation in Brain Tumor Patients After Neurosurgery",,"Recruiting","No Results Available","Brain Tumor, Primary|Cognitive Impairment","Behavioral: The cognitive rehabilitation program ReMind","Change in objective cognitive functioning|Change in working memory|Change in word fluency|Change in subjective cognitive functioning|Change in symptoms of fatigue|Change in symptoms of anxiety|Change in symptoms of depression|Change in subjective executive functioning|Change in professional functioning (1)|Change in professional functioning (2)|Change in (social) participation","Elisabeth-TweeSteden Ziekenhuis|University of Tilburg|ZonMw: The Netherlands Organisation for Health Research and Development|Erasmus Medical Center|Medical Center Haaglanden","All","18 Years and older   (Adult, Older Adult)","Not Applicable","115","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","842003009","July 1, 2015","June 30, 2019","June 30, 2019","December 14, 2017","null","February 13, 2018","Erasmus Medical Center, Rotterdam, Netherlands|Medical Center Haaglanden, The Hague, Netherlands|Elisabeth-TweeSteden Hospital, Tilburg, Netherlands","","https://ClinicalTrials.gov/show/NCT03373487"
36,"NCT03234309","Ferumoxytol in Magnetic Resonance Imaging of Pediatric Patients With Brain Tumors",,"Recruiting","No Results Available","Childhood Brain Neoplasm","Drug: Ferumoxytol|Procedure: Magnetic Resonance Imaging","Cerebral blood volume in small (< 1cm) enhancing lesions|Confidence in identifying the lesion corresponding areas on cerebral blood volume maps|Delineation of tumor from larger blood vessels|Overlay accuracy with 3-dimensional anatomical T1w post contrast scans|Ferumoxytol enhancement|Histology and genetic markers|Progression free survival|Relative cerebral blood volume value|Survival|Treatment response","OHSU Knight Cancer Institute|National Cancer Institute (NCI)","All","5 Years to 18 Years   (Child, Adult)","Phase 2","100","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","STUDY00016165|NCI-2017-00713|P30CA069533","October 20, 2017","April 14, 2021","April 14, 2022","July 31, 2017","null","November 6, 2017","OHSU Knight Cancer Institute, Portland, Oregon, United States","","https://ClinicalTrials.gov/show/NCT03234309"
37,"NCT03248544","Therapeutic Benefit of Preoperative Supplemental Vitamin D in Patients Undergoing Brain Tumor Surgery",,"Recruiting","No Results Available","Brain Neoplasms","Drug: vitamin D|Other: control","Vitamin D level|Peri-operative Complications|Post-operative Complications|Duration of stay in ICU|Duration of stay in hospital|1-month mortality|6-month mortality","Shahid Beheshti University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1396-607","July 6, 2017","June 30, 2018","June 30, 2018","August 14, 2017","null","April 18, 2018","Faculty of Nutrition and Food Technology, Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of|Shohada Tajrish Hospital, Tehran, Iran, Islamic Republic of","","https://ClinicalTrials.gov/show/NCT03248544"
38,"NCT03361033","Components of Social Functioning in Survivors of Pediatric Brain Tumors",,"Recruiting","No Results Available","Brain Tumor, Pediatric|Medulloblastoma, Pediatric","","Significant predictors of social-cognitive and neurocognitive abilities on social functioning","St. Jude Children's Research Hospital|American Cancer Society, Inc.","All","8 Years to 12 Years   (Child)","","68","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SOCFUN","January 30, 2018","February 2021","February 2021","December 4, 2017","null","February 1, 2018","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","","https://ClinicalTrials.gov/show/NCT03361033"
39,"NCT03179449","In Vivo Characterization of Macrophages in Pediatric Patients With Malignant Brain Tumors Using Ferumoxytol-enhanced MRI",,"Recruiting","No Results Available","Childhood Brain Neoplasm","Diagnostic Test: Diagnostic (ferumoxytol-enhanced MRI)|Procedure: Surgery|Drug: Ferumoxytol|Other: Tissue Analysis","Iron concentration measurements|Macrophages on histopathology","Michael Iv|National Cancer Institute (NCI)|Stanford University","All","2 Years and older   (Child, Adult, Older Adult)","Early Phase 1","10","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PEDSBRNCNS0008|NCI-2017-00959|P30CA124435|IRB-39245","July 1, 2017","July 1, 2019","July 1, 2019","June 7, 2017","null","July 18, 2017","Stanford University, School of Medicine, Palo Alto, California, United States","","https://ClinicalTrials.gov/show/NCT03179449"
40,"NCT03323450","Cognitive Remediation Therapy for Brain Tumor Patients: Improving Working Memory",,"Recruiting","No Results Available","Glioma|Brain Tumor, Primary","Behavioral: CogMed®","Treatment enrollment rates|Attrition rates|Change in scores on Behavior Rating Inventory of Executive Function-Adult (BRIEF-A) over time|Change in scores on Conners' Continuous Performance Test - Third Edition (CPT-3) over time|Change in scores on Delis-Kaplan Executive Function System (D-KEFS) over time|Change in scores on Repeatable Battery for the Assessment of Neuropsychological Status (RBANS-Update A, B, C, or D) over time|Scores on Test of Premorbid Functioning (TOPF) at baseline|Change in scores on Trial Making Test (TMT) over time|Change in scores on Wechsler Memory Scale - Fourth Edition (WMS-IV) over time|Change in scores on Beck Anxiety Inventory (BAI) over time|Change in scores on Beck Depression Inventory-II (BDI-II) over time","Virginia Commonwealth University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MCC-17-13581","October 20, 2017","November 1, 2018","November 1, 2018","October 27, 2017","null","October 27, 2017","Virginia Commonwealth University/Massey Cancer Center, Richmond, Virginia, United States","","https://ClinicalTrials.gov/show/NCT03323450"
41,"NCT03330197","A Study of Ad-RTS-hIL-12 + Veledimex in Pediatric Subjects With Brain Tumors or DIPG",,"Recruiting","No Results Available","Pediatric Brain Tumor|Diffuse Intrinsic Pontine Glioma","Biological: Ad-RTS-hIL-12|Drug: oral veledimex","The safety and tolerability of intratumoral Ad-RTS-hIL-12 and veledimex as measured by dose limiting toxicities and compliance.|To measure the veledimex in blood and brain tumor by using the LC-MS method|Evaluate preliminary efficacy of Ad-RTS-hIL-12 and veledimex by assessing survival and tumor response rates|Measure immune response of Ad-RTS-hIL-12 and veledimex by a quantitative multiplex immunoassay for determination of IL-12 and IFNg levels|Subjects with Ad-RTS-hIL-12 and veledimex related adverse events will be assessed for safety by CTCAE v4.0","Ziopharm","All","up to 21 Years   (Child, Adult)","Phase 1","24","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATI001-103","September 26, 2017","March 2021","March 2021","November 6, 2017","null","June 26, 2018","University of California San Francisco, Benioff Children's Hospital, San Francisco, California, United States|Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Dana- Farber Cancer Institute, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT03330197"
42,"NCT01534104","MRI and Diffusion Imaging of Eloquent Brain Areas to Optimize Brain Tumor Resection Planning",,"Recruiting","No Results Available","Brain Cancer","Procedure: preoperative fMRI. DTI and DSI with tractography","standard vs. probabilistic tractography|the utility of diffusion spectrum imaging (DSI)|feasibility of updated fMRI sequences","Memorial Sloan Kettering Cancer Center|Weill Medical College of Cornell University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","185","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","12-008","February 2012","February 2019","February 2019","February 16, 2012","null","March 5, 2018","Memorial Sloan Kettering Cancer Center, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT01534104"
43,"NCT02537106","A Comparison of the Effect of 1.5 Versus 3% NaCl on Brain Relaxation and Microcirculation",,"Recruiting","No Results Available","Brain Tumors","Procedure: 1.5% NaCl|Procedure: 3% NaCl","Changes in brain microcirculation|Changes in natremia|Changes in osmolarity|Concentration of natrium in cerebrospinal fluid","University Hospital Hradec Kralove","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","201508-S23P","September 2015","December 2018","December 2018","September 1, 2015","null","October 27, 2017","University Hospital Hradec Kralove, Hradec Kralove, Czechia","","https://ClinicalTrials.gov/show/NCT02537106"
44,"NCT03208387","Understanding the Late Effects of Surviving a Pediatric Brain Tumor",,"Recruiting","No Results Available","Brain Tumor|Pediatric Brain Tumor|Pediatric Cancer","Diagnostic Test: Diffusion tensor imaging (DTI)|Diagnostic Test: Resting state functional connectivity MRI (rs-fcMRI)|Behavioral: Wechsler Intelligence Scale for Children - 5th edition (WISC-V)|Behavioral: California Verbal Learning Test (CVLT-C)|Behavioral: Beery Test of Visual Motor Integration 6th edition|Behavioral: Grooved Pegboard|Behavioral: PedsQL Multidimensional Fatigue Scale|Diagnostic Test: MRI","Feasibilty which is the number of eligible survivors consented per month","Memorial Sloan Kettering Cancer Center","All","6 Years to 16 Years   (Child)","","48","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","17-338","June 28, 2017","June 2019","June 2019","July 5, 2017","null","February 15, 2018","Memorial Sloan Kettering Cancer Center, New York, New York, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States","","https://ClinicalTrials.gov/show/NCT03208387"
45,"NCT01538264","Blood Flow MRI for Monitoring Brain Tumors","Glioma","Recruiting","No Results Available","Brain Tumors","","","Beth Israel Deaconess Medical Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","","125","Other|NIH","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","2006P000116|R01CA115745-05","June 2006","June 2019","December 2019","February 24, 2012","null","March 21, 2018","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT01538264"
46,"NCT02153957","Trial Evaluating an Enhanced Physical Activity Intervention to Improve Cognitive Late Effects in Children Treated With Cranial Radiation for Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Behavioral: Physical Activity","Efficacy|Examine test scores pre- to post- intervention|Compare cognitive test scores between groups|Effects of lab treadmill on cognitive functioning|Effects of 12wk PA on circulating growth factors|Effects of 12wk PA on fatigue and QOL|Effects of 12wk PA on cognitive functions|Examine circulating growth factors with PA levels &amp; fitness|Feasibility","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","8 Years to 18 Years   (Child, Adult)","Phase 2","156","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","140116|14-C-0116","May 31, 2014","December 31, 2018","April 1, 2019","June 3, 2014","null","June 27, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT02153957"
